source_id,author_or_org,title,year,doi,url,source_type,license_or_access,evidence_area,allowed_use,caution,date_checked,authors,journal,population,tests_used,app_claim_supported,generalizability_limit,license,notes
S015,Ní Chéilleachair et al.,HIIT enhances endurance performance and aerobic characteristics more than high-volume training in trained rowers,2016,n/a,https://pubmed.ncbi.nlm.nih.gov/27438378/,Rowing intervention study,Abstract/metadata use,HIIT,Support limited high-intensity sessions within mostly aerobic training.,Protocol-specific; do not universalize.,2026-08-06
S016,Akca and Aras,Comparison of Rowing Performance Improvements Following Various High-Intensity Interval Trainings,2015,10.1519/JSC.0000000000000870,https://pubmed.ncbi.nlm.nih.gov/25647654/,Rowing intervention study,Abstract/metadata use,HIIT/anaerobic,Support short and longer high-intensity interval categories.,"Male collegiate sample; exact protocols remain cited research, not copied app plan.",2026-08-06
S017,Huiberts et al.,Concurrent Strength and Endurance Training: Impact of Sex and Training Status,2024,10.1007/s40279-023-01943-9,https://pubmed.ncbi.nlm.nih.gov/37847373/,Systematic review/meta-analysis,Open access,Concurrent training,Support combined strength and endurance planning and caution about population differences.,Evidence does not determine an exact weekly schedule.,2026-08-06
S018,Tran et al.,Convergent validity of a novel method for quantifying rowing training loads,2015,10.1080/02640414.2014.942686,https://pubmed.ncbi.nlm.nih.gov/25083912/,Rowing monitoring study,Abstract/metadata use,Time in zone,Support actual time-in-zone and mode-specific accounting.,"Elite sample; app uses simplified accounting, not the proprietary T2minute method.",2026-08-06
S019,High-level rower study authors,Increases in RPE Rating Predict Fatigue Accumulation Without Changes in Heart Rate Zone Distribution,2021,n/a,https://pubmed.ncbi.nlm.nih.gov/34603086/,Rowing monitoring study,Abstract/metadata use,Monitoring,Support recording both HR and perceived effort.,Small high-level sample.,2026-08-06
S020,Garland and Atkinson,Effect of blood lactate sample site and test protocol on training zone prescription in rowing,2008,10.1123/ijspp.3.3.347,https://pubmed.ncbi.nlm.nih.gov/19211946/,Rowing testing study,Abstract/metadata use,Threshold testing,Support labeling test-protocol-specific boundaries and avoiding false precision.,Does not provide a universal zone table.,2026-08-06
S021,Cerasola et al.,Can the 20 and 60 s All-Out Test Predict the 2000 m Indoor Rowing Performance in Athletes?,2022,10.3389/fphys.2022.828710,https://pubmed.ncbi.nlm.nih.gov/35721540/,Primary rowing study; open-access article,Open access; verify article license for reuse,Short-duration rowing power profile,Support relevance of short and 60-second power measurements and descriptive within-athlete ratios.,Youth male rowers; 20-second test is not a seven-stroke peak test; do not copy regression equation or generalize prediction.,2026-08-06
S022,Cerasola et al.,"Predicting the 2000-m Rowing Ergometer Performance from Anthropometric, Maximal Oxygen Uptake and 60-s Mean Power Variables in National Level Young Rowers",2020,n/a,https://pubmed.ncbi.nlm.nih.gov/33312296/,Primary rowing study,Abstract/metadata use; verify full-text license,One-minute power,Support use of 60-second average power as a meaningful rowing performance measurement.,Small national-level youth male sample; do not use its regression model for general adult or masters prediction.,2026-08-06
S023,Rappelt et al.,Performance Prediction and Athlete Categorization using the Anaerobic Power Reserve Framework in Rowing,2026,n/a,https://pubmed.ncbi.nlm.nih.gov/41348913/,Primary rowing study,Abstract/metadata use; verify full-text license,Power-reserve profiling,Support the general relevance of combining peak and aerobic/mechanical power measures for athlete profiling.,Sub-elite/elite female and male rowers; uses different tests and framework; do not claim validation of this app algorithm.,2026-08-06
S024,U.S. Copyright Office,37 CFR § 202.1 — Material not subject to copyright,Current through 2026-08-03,n/a,https://www.copyright.gov/title37/202/37cfr202-1.html,Government regulation guidance,Publicly accessible,Copyright boundary,Support distinction between methods/systems and their written expression.,"Does not resolve contracts, trademarks, patents, trade secrets, or fact-specific infringement questions.",2026-08-06
S025,U.S. Copyright Office,Copyright in General FAQ,Current,n/a,https://www.copyright.gov/help/faq/faq-general.html,Government guidance,Publicly accessible,Automatic protection and notice,Support that protection arises on fixation and notice/registration are not required for existence of copyright.,Product policy is not legal advice.,2026-08-06
S026,DeLeo et al.,Predicting 2,000-meter rowing ergometer performance with 7-stroke peak power 20-second and 60-second maximal effort tests in NCAA Division I female rowers,2026,10.3389/fphys.2026.1791552,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2026.1791552/abstract,Primary rowing study,CC BY,Winter power profile,Support multi-duration short-power monitoring with an actual 2k.,Does not validate the app algorithm or universal cutoffs.,2026-08-09,DeLeo et al.,Frontiers in Physiology,NCAA Division I female rowers,"7-stroke; 20-second; 60-second; 2k",Monitoring and within-athlete profiling,Single cohort; no universal prediction or classification,CC BY,Paraphrased research context only.
S027,Cerasola et al.,Can the 20 and 60 s All-Out Test Predict the 2000 m Indoor Rowing Performance in Athletes?,2022,10.3389/fphys.2022.828710,https://pmc.ncbi.nlm.nih.gov/articles/PMC9204532/,Primary rowing study,CC BY,Winter power profile,Support normalizing short test results to an athlete's actual 2k.,Youth male sample and regression/sample ratios are not universal.,2026-08-09,Cerasola et al.,Frontiers in Physiology,Youth male rowers,"20-second; 60-second; 2k",Within-athlete ratios and monitoring,No adult masters or sex-general conversion,CC BY,153.1 percent is not implemented as a conversion.
S028,Held et al.,Reliable Peak Power Assessment During Concentric and Flexion-Extension-Cycle Based Rowing Strokes using a Non-Modified Rowing Ergometer,2022,n/a,https://pmc.ncbi.nlm.nih.gov/articles/PMC8851121/,Primary rowing study,Open access,Peak power testing,Support practical short peak-power monitoring.,Do not overinterpret small between-day changes.,2026-08-09,Held et al.,Study publication,Trained rowers,Short peak-power assessment,Short peak as a monitoring anchor,Does not validate app target percentages,Open access,Original app wording.
S029,Schabort et al.,High reliability of performance of well-trained rowers on a rowing ergometer,1999,10.1080/026404199365650,https://pubmed.ncbi.nlm.nih.gov/10487463/,Primary rowing study,Abstract metadata,2k reliability,Support actual 2k as a repeatable monitoring anchor.,Small well-trained sample; normal variability remains.,2026-08-09,Schabort et al.,Journal of Sports Sciences,Well-trained rowers,Repeated 2k,Conservative interpretation of repeated 2k,Not a universal error threshold,Abstract metadata,No test-specific error threshold applied in app.
